satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
0.92,0.453,3,198,5,1,0,0,accounting,medium
0.912,0.564,5,310,4,1,1,0,sales,low
0.229,0.487,4,264,5,0,1,0,sales,medium
0.591,0.529,5,177,8,0,0,0,support,low
0.899,0.938,6,220,2,0,0,0,technical,medium
0.367,0.508,3,219,5,0,1,0,technical,low
0.676,0.955,4,182,3,0,0,0,product_mng,low
0.252,0.45,4,266,3,0,0,0,sales,low
0.598,0.504,4,254,4,0,0,0,sales,low
0.437,0.692,6,224,3,0,1,0,accounting,low
0.474,0.884,3,209,1,0,0,0,technical,low
0.636,0.906,3,189,1,0,0,0,management,medium
0.502,0.218,5,160,5,0,0,0,accounting,low
0.702,0.997,4,225,2,0,0,0,sales,medium
0.585,0.352,4,178,3,0,0,0,sales,low
0.118,0.436,5,225,2,1,1,0,product_mng,low
0.556,0.739,4,161,3,0,0,0,accounting,low
0.686,0.534,4,102,2,0,0,0,product_mng,low
0.688,0.296,4,162,8,0,0,0,support,medium
0.685,0.57,2,113,9,0,0,0,sales,medium
0.647,0.468,5,272,2,1,0,0,sales,high
0.363,0.557,4,300,4,0,1,0,management,medium
0.488,0.321,4,160,6,0,0,0,sales,medium
0.39,0.311,5,140,3,0,0,0,sales,medium
0.674,0.461,3,153,1,0,0,0,sales,medium
0.554,0.344,3,191,1,0,0,0,technical,low
0.723,0.771,6,248,4,0,0,0,support,low
0.406,0.523,6,156,4,1,0,0,technical,low
0.54,0.688,5,219,4,0,0,0,support,low
0.415,0.862,3,197,4,0,0,0,management,low
0.88,0.591,5,257,8,0,1,0,support,medium
0.886,0.438,6,234,4,0,0,0,technical,low
0.125,0.971,6,231,1,0,1,0,IT,medium
0.283,0.45,4,185,4,1,0,0,sales,high
0.24,0.243,3,199,5,0,0,0,technical,low
0.082,0.93,4,213,3,0,1,0,technical,medium
0.766,0.865,2,236,5,0,0,0,sales,low
0.729,0.238,4,191,5,0,0,0,support,low
0.696,0.127,2,212,2,0,0,0,sales,low
0.6,0.651,4,212,10,0,0,0,support,low
0.588,0.227,4,205,3,0,0,0,RandD,medium
0.868,0.744,4,160,3,0,0,0,hr,medium
0.461,0.493,4,271,3,0,1,0,sales,low
0.233,0.629,5,196,5,1,0,1,sales,low
0.659,0.369,4,213,1,0,0,0,management,medium
0.546,0.768,3,146,8,1,0,0,support,medium
0.168,0.202,5,159,3,0,0,0,technical,low
0.367,0.177,4,199,8,1,1,0,accounting,low
0.603,0.596,4,197,4,0,0,0,sales,low
0.904,0.575,7,141,4,0,0,0,management,low
0.416,0.778,5,165,6,0,0,0,marketing,low
0.313,0.626,5,232,7,0,0,0,support,low
0.751,0.876,3,197,5,0,0,0,sales,low
0.354,0.653,3,239,2,0,0,0,support,low
0.103,0.434,4,171,1,0,0,0,support,medium
0.651,0.585,6,156,5,0,0,0,sales,low
0.562,0.61,4,146,4,0,0,0,technical,low
0.566,0.517,3,131,6,1,0,0,technical,medium
0.732,0.5,4,183,4,0,0,0,product_mng,medium
0.62,0.776,6,193,1,0,0,0,accounting,low
0.582,0.79,4,173,5,0,0,0,IT,medium
0.451,0.893,5,220,3,0,1,0,management,low
0.305,0.898,6,173,1,0,0,0,RandD,medium
0.112,0.77,3,169,9,0,0,0,sales,low
0.636,0.576,4,162,9,0,0,0,support,low
0.545,0.646,3,218,10,0,0,0,support,medium
0.311,0.451,3,189,2,0,1,0,technical,low
0.148,0.896,4,206,3,0,0,0,technical,low
0.463,0.631,3,252,10,0,1,0,product_mng,medium
0.682,0.216,3,289,4,0,0,0,accounting,low
0.648,0.323,3,101,3,0,0,0,accounting,medium
0.265,0.606,5,228,4,0,0,0,sales,low
0.388,0.863,3,147,6,0,0,0,management,low
0.274,0.151,5,195,5,1,0,0,IT,low
0.158,0.65,4,145,3,0,0,0,support,low
0.895,0.839,7,138,2,0,0,0,sales,low
0.357,0.198,3,151,4,0,0,0,management,low
0.764,0.351,5,164,1,1,0,0,sales,low
0.362,0.758,4,116,1,0,0,0,technical,low
0.641,0.121,2,167,3,0,0,0,support,low
0.686,0.211,5,167,5,0,0,0,sales,low
0.547,0.378,4,225,3,0,0,0,management,low
0.643,0.278,4,156,1,0,0,0,technical,high
0.654,0.404,4,191,9,0,0,0,sales,medium
0.705,0.832,4,90,3,0,0,0,sales,low
0.208,0.19,4,205,6,1,0,0,support,medium
0.256,0.981,4,217,4,0,0,0,sales,low
0.958,0.653,3,195,3,1,0,0,support,low
0.098,0.484,4,162,3,0,0,1,sales,high
0.283,0.747,4,228,5,0,0,0,support,low
0.59,0.527,3,221,3,0,0,0,RandD,medium
0.611,0.638,3,233,4,0,0,0,product_mng,low
0.757,0.493,3,210,4,0,0,0,IT,medium
0.659,0.265,4,109,3,0,0,0,support,low
0.794,0.809,4,225,1,0,0,0,management,medium
0.293,0.7,4,175,1,0,0,0,support,low
0.056,0.853,5,199,6,0,0,0,support,medium
0.775,0.77,4,182,2,0,0,0,marketing,low
0.394,0.791,3,143,5,0,0,0,support,medium
0.263,0.381,4,161,2,1,0,0,sales,high
0.811,0.894,7,261,8,1,0,0,product_mng,low
0.313,0.356,6,167,2,1,0,0,sales,medium
0.331,0.542,5,274,1,1,0,0,accounting,low
0.556,0.643,4,220,5,0,0,0,sales,medium
0.682,0.528,3,252,7,0,0,0,sales,medium
0.501,0.675,4,163,3,0,0,0,support,low
0.78,0.559,5,200,1,0,0,0,RandD,medium
0.229,0.885,6,216,6,1,1,0,RandD,low
0.727,0.805,6,114,3,0,0,0,sales,low
0.815,0.92,5,167,8,0,0,0,technical,low
0.566,0.761,4,255,5,0,0,0,technical,low
0.605,0.913,3,174,4,0,0,0,sales,low
0.234,0.673,4,206,5,0,0,0,support,low
0.958,0.684,5,164,4,0,0,0,sales,low
0.336,0.679,5,225,5,0,1,0,support,high
0.45,0.167,4,197,4,0,0,0,technical,low
0.824,0.463,2,172,4,0,0,0,support,low
0.311,0.899,3,185,3,0,0,0,technical,low
0.528,0.201,4,239,3,0,0,0,marketing,low
0.254,0.888,5,231,1,0,0,0,product_mng,low
0.663,0.741,4,212,2,0,0,0,sales,low
0.804,0.646,4,207,2,0,0,0,sales,low
0.24,0.408,4,269,3,0,0,0,sales,low
0.122,0.569,6,233,5,0,1,0,product_mng,medium
0.032,0.963,5,191,5,0,0,0,product_mng,medium
0.321,0.242,5,217,2,0,0,0,sales,low
0.493,0.716,5,137,5,0,0,0,support,medium
0.878,0.487,3,182,7,0,0,0,technical,low
0.568,0.834,7,223,3,0,0,0,accounting,high
0.555,0.656,3,256,4,0,0,0,IT,high
0.735,0.505,4,191,4,0,0,0,support,low
0.589,0.792,5,282,7,1,0,0,sales,low
0.381,0.779,4,90,6,0,1,0,RandD,low
0.325,0.366,4,103,2,0,0,0,technical,low
0.731,0.387,6,127,10,0,0,0,hr,medium
0.698,0.651,5,243,7,0,0,0,marketing,low
0.169,0.802,4,268,1,0,1,0,support,low
0.555,0.775,4,206,9,0,0,0,marketing,low
0.36,0.34,3,200,1,0,0,1,support,low
0.799,0.933,4,280,5,0,0,0,support,low
0.239,0.965,5,208,4,1,0,0,product_mng,low
0.726,0.705,4,183,3,0,0,0,management,low
0.881,0.604,3,218,2,0,0,0,sales,low
0.377,0.74,6,216,3,0,0,0,support,low
0.461,0.69,4,202,3,0,0,0,marketing,low
0.562,0.856,3,215,7,0,1,0,technical,low
0.54,0.752,3,217,3,1,0,0,technical,low
0.154,0.642,6,217,3,0,0,0,support,high
0.374,0.936,4,243,3,0,1,0,product_mng,low
0.746,0.286,4,227,4,0,0,1,IT,low
0.473,0.601,4,203,5,1,0,0,hr,low
0.836,0.892,4,154,2,0,0,0,sales,low
0.691,0.673,5,207,2,0,0,0,support,low
0.396,0.358,5,261,7,0,1,0,technical,low
0.339,0.583,7,185,3,0,1,0,technical,low
0.204,0.899,5,178,3,0,0,0,management,low
0.21,0.479,4,273,5,0,1,0,marketing,low
0.471,0.751,4,215,2,0,0,0,hr,medium
0.441,0.57,4,130,2,0,0,0,management,medium
0.449,0.36,4,134,6,0,0,0,sales,medium
0.701,0.846,2,100,3,0,0,0,support,low
0.539,0.815,5,181,4,0,0,0,technical,medium
0.711,0.386,6,145,1,0,0,0,sales,medium
0.524,0.623,3,172,3,0,1,0,product_mng,low
0.467,0.856,3,259,3,0,0,0,technical,low
0.496,0.62,3,168,3,1,0,0,IT,high
0.365,0.763,7,191,4,0,1,0,accounting,low
0.84,0.449,4,205,2,0,0,0,sales,low
0.371,0.404,4,227,3,0,1,0,sales,medium
0.596,0.636,3,223,6,0,0,0,support,high
0.339,0.685,7,150,3,0,0,0,sales,medium
0.828,0.753,3,241,2,0,0,0,RandD,medium
0.208,0.844,3,210,3,0,0,0,RandD,low
0.283,0.838,4,147,1,0,0,0,RandD,low
0.678,0.66,4,192,2,0,0,0,support,medium
0.545,0.272,3,135,2,0,0,0,product_mng,low
0.367,0.945,5,162,7,0,0,0,sales,low
0.645,0.769,7,167,4,0,0,0,IT,low
0.46,0.712,3,145,1,0,0,0,support,medium
0.386,0.601,4,192,2,0,0,0,sales,low
0.395,0.682,3,216,9,0,0,0,technical,low
0.758,0.878,4,226,7,1,0,0,product_mng,low
0.643,0.561,5,233,1,0,1,0,marketing,low
0.624,0.787,4,252,3,0,0,0,support,low
0.511,0.224,5,99,5,0,0,0,sales,low
0.467,0.814,4,305,3,0,0,0,hr,medium
0.323,0.716,7,142,5,0,0,0,sales,medium
0.795,0.367,4,90,9,0,0,0,support,medium
0.194,0.559,5,219,2,0,1,0,product_mng,low
0.14,0.461,3,221,2,0,0,0,support,low
0.633,0.726,3,246,6,1,1,0,technical,low
0.402,0.857,4,246,1,1,0,0,support,medium
0.807,0.503,3,120,3,0,0,0,technical,medium
0.667,0.889,2,217,3,0,0,0,sales,medium
0.469,0.888,3,224,6,1,1,0,management,low
0.676,0.916,4,226,3,0,0,0,technical,medium
0.747,0.68,5,234,3,0,0,0,management,low
0.74,0.541,4,172,5,0,0,0,technical,high
0.447,0.276,3,183,3,0,0,0,sales,low
0.163,0.481,3,214,3,1,0,0,hr,low
0.029,0.944,5,184,3,0,0,0,product_mng,medium
0.764,0.581,5,206,6,1,0,0,product_mng,medium
0.491,0.452,3,227,3,0,0,0,support,high
0.291,0.391,4,246,7,0,0,0,sales,low
0.554,0.211,5,157,2,0,0,0,sales,low
0.579,0.432,5,208,10,0,0,0,sales,low
0.563,0.533,4,214,7,0,0,0,accounting,low
0.375,0.51,4,193,6,0,0,0,hr,high
0.645,0.222,4,211,4,0,0,0,support,low
0.236,0.542,4,252,4,0,0,0,IT,high
0.396,0.81,4,154,1,0,0,0,accounting,low
0.277,0.698,4,146,3,0,0,0,sales,medium
0.669,0.629,5,198,1,1,0,1,marketing,medium
0.314,0.817,3,170,3,0,0,0,hr,low
0.17,0.546,4,249,2,0,1,0,hr,medium
0.572,0.58,5,211,2,0,0,0,management,low
0.574,0.954,4,219,6,0,0,0,IT,high
0.216,0.452,3,193,3,0,0,0,IT,low
0.701,0.888,3,116,3,1,0,0,RandD,low
0.495,0.416,5,205,8,0,0,0,hr,low
0.378,0.436,5,226,2,0,0,0,product_mng,low
0.073,0.281,3,165,4,0,0,0,support,medium
0.635,0.872,5,162,9,0,0,0,technical,low
0.554,0.483,5,112,10,0,0,0,sales,low
0.562,0.739,6,218,1,0,0,0,product_mng,high
0.675,0.163,7,228,2,0,0,0,marketing,low
0.118,0.502,4,208,8,0,0,0,support,low
0.405,0.707,7,177,7,1,0,0,sales,medium
0.78,0.418,4,192,2,0,0,0,technical,medium
0.233,0.577,5,143,6,0,0,0,support,medium
0.5,0.32,5,220,4,0,0,0,accounting,medium
0.175,0.302,5,214,3,0,0,0,marketing,low
0.629,0.55,5,188,2,0,0,0,support,medium
0.493,0.924,4,186,3,0,0,0,IT,low
0.642,0.583,5,166,4,0,0,0,IT,low
0.594,0.095,3,172,3,0,0,0,IT,medium
0.803,0.383,4,193,5,0,0,0,RandD,low
0.845,0.945,3,255,3,0,0,0,technical,low
0.15,0.787,4,183,2,1,0,0,technical,medium
0.561,0.674,4,175,7,0,1,0,RandD,low
0.817,0.249,2,223,3,0,0,0,hr,low
0.488,0.74,3,168,1,0,0,0,support,medium
0.892,0.512,5,237,5,0,0,0,support,low
0.427,0.836,4,238,2,0,0,0,marketing,medium
0.671,0.833,6,242,8,0,0,0,marketing,medium
0.875,0.415,4,190,1,0,0,0,RandD,medium
0.24,0.947,4,184,3,1,0,0,product_mng,medium
0.463,0.632,5,232,4,0,0,0,sales,medium
0.855,0.38,3,287,1,0,0,0,sales,low
0.671,0.78,6,113,6,0,0,0,technical,low
0.59,0.808,4,193,6,0,0,0,technical,low
0.719,0.111,5,205,6,0,0,0,accounting,low
0.581,0.787,5,192,3,0,0,0,sales,medium
0.625,0.873,4,170,1,0,0,0,sales,low
0.581,0.717,7,198,6,0,0,0,technical,low
0.396,0.79,2,232,7,0,0,1,management,low
0.53,0.923,6,192,3,0,0,0,sales,low
0.9,0.487,3,177,4,0,0,0,technical,medium
0.332,0.308,4,184,5,0,0,0,IT,medium
0.794,0.276,6,166,5,0,0,1,technical,medium
0.539,0.452,3,301,2,0,0,0,IT,low
0.693,0.416,3,164,3,1,0,0,support,low
0.73,0.501,5,257,1,0,0,1,marketing,high
0.645,0.814,3,231,4,0,0,0,sales,high
0.412,0.727,4,167,2,1,0,0,product_mng,low
0.827,0.76,4,252,7,0,1,0,hr,low
0.704,0.542,5,199,3,0,0,0,sales,low
0.567,0.579,5,137,3,0,0,0,IT,medium
0.587,0.745,4,158,2,0,0,0,support,high
0.352,0.522,6,274,4,0,0,0,accounting,medium
0.656,0.704,3,193,3,0,0,0,technical,low
0.824,0.447,5,229,4,0,0,0,product_mng,high
0.281,0.751,5,176,7,0,0,0,IT,low
0.301,0.799,4,182,6,1,0,0,sales,medium
0.652,0.404,7,226,3,0,1,0,technical,low
0.31,0.802,4,218,2,0,1,0,technical,low
0.476,0.859,6,196,4,0,0,0,sales,low
0.482,0.841,3,147,1,0,0,0,marketing,low
0.325,0.316,4,276,4,0,0,1,hr,low
0.748,0.397,3,159,3,0,0,0,support,low
0.67,0.61,6,265,3,0,0,0,sales,medium
0.597,0.588,4,215,2,0,0,0,sales,high
0.46,0.975,4,180,5,0,0,0,sales,medium
0.642,0.085,5,206,9,0,1,0,technical,low
0.091,0.647,4,254,2,0,0,0,marketing,low
0.231,0.727,4,242,3,0,0,0,sales,low
0.535,0.707,4,159,2,0,0,0,support,medium
0.49,0.373,5,178,10,0,0,0,IT,low
0.625,0.67,7,173,9,0,1,0,technical,low
0.507,0.156,4,227,2,0,0,0,support,medium
0.356,0.235,5,240,2,0,0,0,sales,high
0.777,0.456,6,149,2,0,0,0,support,low
0.41,0.681,7,207,4,0,0,0,sales,low
0.416,0.328,4,249,3,0,0,1,sales,high
0.899,0.593,3,231,8,0,0,0,support,low
0.174,0.378,4,239,3,0,1,0,sales,low
0.43,0.758,5,170,3,0,0,0,IT,medium
0.561,0.769,4,243,5,0,0,0,marketing,medium
0.41,0.636,4,185,2,0,0,0,product_mng,high
0.342,0.526,4,247,1,0,0,0,technical,high
0.464,0.713,5,159,4,0,0,0,IT,low
0.361,0.856,7,136,4,0,0,0,support,low
0.735,0.82,5,285,5,0,0,0,marketing,low
0.054,0.574,4,288,4,0,1,0,accounting,low
0.575,0.444,4,180,5,0,0,0,sales,low
0.404,0.659,3,94,7,0,0,0,sales,low
0.56,0.892,3,137,5,0,0,0,IT,medium
0.63,0.58,2,165,6,0,0,0,marketing,high
0.26,0.547,4,139,2,0,1,0,management,medium
0.557,0.528,3,188,2,0,0,0,IT,medium
0.15,0.633,2,208,3,0,0,0,management,low
0.201,0.404,3,164,2,0,0,0,sales,medium
0.664,0.816,6,149,4,0,0,0,marketing,low
0.43,0.508,3,168,4,0,1,0,technical,low
0.806,0.757,4,172,3,0,0,0,sales,low
0.52,0.352,3,211,10,0,0,0,sales,low
0.398,0.585,5,192,5,1,0,0,accounting,low
0.456,0.868,3,171,5,0,0,0,sales,low
0.403,0.265,4,193,4,0,0,0,sales,medium
0.369,0.952,3,231,2,0,0,0,technical,low
0.233,0.374,4,297,2,0,1,0,sales,low
0.652,0.102,3,147,2,0,0,0,technical,low
0.607,0.348,4,193,5,0,0,0,support,medium
0.765,0.437,5,205,3,0,0,0,sales,low
0.511,0.303,4,264,2,0,0,0,RandD,low
0.749,0.728,7,181,7,0,0,0,technical,low
0.415,0.94,3,220,6,0,1,0,sales,medium
0.459,0.419,3,265,1,0,0,0,management,medium
0.796,0.27,3,197,3,0,0,0,support,medium
0.7,0.498,4,142,3,0,0,0,sales,low
0.693,0.193,3,274,2,0,0,0,IT,medium
0.204,0.925,2,173,3,0,0,0,IT,high
0.563,0.673,3,246,4,0,0,0,support,low
0.737,0.6,3,234,4,0,1,0,technical,low
0.64,0.237,3,138,3,0,0,0,technical,low
0.687,0.863,4,188,6,0,0,0,sales,low
0.789,0.85,7,219,1,0,0,0,support,low
0.242,0.89,6,215,1,0,0,0,product_mng,low
0.396,0.536,2,137,6,0,0,0,sales,low
0.807,0.439,5,241,5,0,0,0,IT,low
0.611,0.179,3,204,5,0,0,0,support,low
0.087,0.424,4,273,2,0,0,0,technical,low
0.121,0.376,4,247,1,0,0,0,sales,low
0.439,0.859,7,191,2,0,1,0,IT,low
0.569,0.755,4,114,7,0,0,0,sales,medium
0.33,0.538,4,199,3,0,0,0,technical,high
0.459,0.329,6,176,4,0,1,0,product_mng,low
0.29,0.726,3,220,4,0,0,0,support,low
0.508,0.856,4,231,1,1,0,0,support,high
0.11,0.246,3,258,5,0,0,0,support,low
0.662,0.638,3,208,3,0,0,0,RandD,medium
0.546,0.584,5,200,1,0,0,0,marketing,low
0.621,0.811,4,184,2,0,0,0,support,low
0.123,0.879,3,155,3,0,0,0,support,low
0.396,0.752,4,247,6,0,0,0,hr,high
0.837,0.327,6,193,3,0,0,0,technical,high
0.45,0.521,3,152,4,0,0,0,marketing,low
0.712,0.748,3,157,4,0,0,0,RandD,low
0.505,0.165,5,192,3,0,0,0,support,low
0.33,0.869,3,221,2,0,0,0,sales,medium
0.939,0.409,5,244,6,0,0,0,management,low
0.638,0.716,6,270,7,0,0,1,technical,low
0.873,0.857,2,189,2,0,0,0,marketing,low
0.269,0.497,4,166,1,0,0,0,technical,medium
0.18,0.606,4,227,10,0,1,0,IT,low
0.646,0.882,4,186,4,0,0,0,technical,low
0.552,0.61,4,212,2,0,0,0,RandD,medium
0.478,0.28,5,193,1,0,1,0,technical,low
0.662,0.705,5,193,4,0,0,0,sales,low
0.423,0.168,3,90,4,1,0,0,technical,low
0.303,0.804,5,216,6,0,0,1,support,low
0.258,0.223,3,146,2,0,0,0,sales,medium
0.536,0.349,5,153,9,0,0,0,sales,medium
0.277,0.816,5,90,5,0,0,0,technical,low
0.788,0.558,6,111,8,0,0,0,sales,low
0.663,0.638,4,226,2,1,0,0,management,low
0.705,0.457,4,199,6,0,0,0,management,low
0.814,0.551,5,171,4,0,0,0,support,low
0.61,0.583,3,191,2,1,0,0,sales,low
0.367,0.623,5,145,6,0,0,0,product_mng,low
0.222,0.197,6,214,5,0,0,1,IT,medium
0.515,0.461,7,216,4,0,0,0,sales,high
0.239,0.653,3,221,10,1,0,0,accounting,low
0.286,0.478,4,212,4,0,1,0,technical,low
0.218,0.612,7,107,4,0,0,0,support,high
0.658,0.598,4,149,4,1,0,0,sales,low
0.398,0.415,6,226,4,1,0,0,support,medium
0.5,0.466,4,247,8,0,1,0,support,medium
0.277,0.542,5,266,7,0,1,0,technical,high
0.353,0.337,3,255,5,0,0,1,RandD,high
0.672,0.302,3,135,6,0,0,0,IT,low
0.163,0.283,3,222,3,0,0,0,technical,low
0.667,0.868,3,131,9,0,0,0,support,low
0.745,0.7,4,211,5,0,0,0,support,low
0.644,0.375,6,202,8,0,0,0,sales,medium
0.307,0.432,3,160,3,0,0,0,RandD,high
0.405,0.549,3,156,1,0,0,0,sales,low
0.279,0.335,5,172,2,0,0,0,technical,high
0.421,0.571,3,217,5,0,0,0,support,low
0.568,0.488,4,241,4,0,0,0,technical,medium
0.609,0.825,3,208,6,0,0,0,sales,low
0.587,0.647,4,292,3,0,0,0,product_mng,low
0.36,0.772,4,127,8,0,0,0,support,low
0.293,0.281,7,270,1,0,1,0,sales,low
0.781,0.841,6,238,6,0,0,0,hr,low
0.615,0.329,2,205,4,0,0,0,support,low
0.765,0.861,4,293,6,0,1,0,marketing,low
0.67,0.424,4,150,5,0,0,0,technical,medium
0.164,0.337,4,140,6,0,0,0,product_mng,medium
0.765,0.877,2,244,3,0,0,0,product_mng,low
0.453,0.927,3,173,4,0,0,0,sales,low
0.833,0.752,3,162,1,0,0,0,sales,low
0.379,0.811,2,197,5,0,0,0,sales,medium
0.981,0.343,6,165,2,1,0,0,IT,medium
0.528,0.506,4,176,4,0,0,0,sales,low
0.467,0.632,3,190,3,0,0,0,support,medium
0.694,0.704,6,178,9,0,0,0,sales,low
0.188,0.39,5,196,3,0,1,0,technical,low
0.258,0.407,3,186,5,0,0,0,hr,low
0.648,0.524,3,191,5,0,0,0,RandD,low
0.559,0.299,3,198,10,0,0,0,support,low
0.216,0.486,3,182,2,0,0,0,sales,low
0.815,0.568,5,226,5,0,0,0,technical,low
0.598,0.748,3,166,3,0,0,0,sales,low
0.482,0.806,5,223,3,0,0,0,product_mng,low
0.201,0.698,7,202,4,0,0,0,support,high
0.651,0.358,3,155,3,0,0,0,support,low
0.156,0.615,4,205,4,0,0,0,hr,low
0.683,0.848,2,225,3,1,0,0,RandD,high
0.282,0.339,4,192,2,1,0,0,product_mng,low
0.955,0.829,6,133,1,0,0,0,RandD,medium
0.375,0.809,4,205,1,0,0,0,IT,low
0.483,0.264,5,219,5,0,0,0,RandD,low
0.599,0.359,4,199,5,0,0,0,sales,medium
0.344,0.409,4,128,3,0,0,0,hr,low
0.78,0.937,7,191,2,0,0,0,technical,low
0.546,0.562,5,184,5,1,0,0,accounting,medium
0.107,0.848,6,149,2,0,1,0,sales,low
0.169,0.56,5,237,5,0,1,0,sales,low
0.805,0.193,4,250,4,1,0,0,accounting,low
0.43,0.66,4,156,1,0,1,0,marketing,low
0.476,0.81,7,235,3,0,0,0,RandD,low
0.425,0.503,3,208,7,0,0,0,support,low
0.334,0.833,3,181,4,0,0,0,technical,low
0.478,0.608,3,244,6,1,0,0,hr,high
0.42,0.295,4,190,5,0,0,0,sales,medium
0.933,0.143,5,191,5,0,0,0,IT,medium
0.45,0.673,4,166,1,0,0,1,IT,low
0.266,0.809,6,184,4,0,0,0,sales,low
0.596,0.352,5,205,3,0,0,0,technical,low
0.558,0.415,3,201,4,0,0,0,sales,low
0.224,0.17,7,193,3,0,1,0,sales,low
0.683,0.883,5,177,9,0,0,0,support,medium
0.398,0.539,3,194,8,0,0,0,IT,medium
0.229,0.254,4,180,6,0,0,0,sales,medium
0.523,0.341,4,247,2,1,0,0,IT,medium
0.461,0.227,4,174,5,0,0,0,technical,low
0.064,0.758,7,135,6,0,0,0,accounting,low
0.891,0.969,4,145,4,1,0,0,technical,high
0.383,0.703,4,259,5,1,0,0,sales,medium
0.425,0.344,4,233,4,0,0,1,product_mng,medium
0.462,0.473,6,167,3,0,0,0,support,low
0.634,0.58,7,197,4,0,1,0,management,medium
0.679,0.336,5,164,3,1,0,1,IT,low
0.575,0.607,3,189,7,0,0,0,accounting,low
0.064,0.891,4,265,3,0,0,0,IT,medium
0.196,0.21,3,245,1,0,0,1,hr,low
0.635,0.516,4,199,5,0,0,0,support,low
0.479,0.544,4,97,7,0,0,0,hr,high
